Datum;Zeit;Transaktion;Item
30.10.2016;09:58:11;1;Brot
30.10.2016;10:05:34;2;Waffel
30.10.2016;10:05:34;2;Waffel
30.10.2016;10:07:57;3;Heisse Schokolade
30.10.2016;10:07:57;3;Marmelade
30.10.2016;10:07:57;3;Kekse
30.10.2016;10:08:41;4;Muffin
30.10.2016;10:13:03;5;Kaffee
30.10.2016;10:13:03;5;Gebaeck
30.10.2016;10:13:03;5;Brot
30.10.2016;10:16:55;6;Croissant
30.10.2016;10:16:55;6;Gebaeck
30.10.2016;10:16:55;6;Muffin
30.10.2016;10:19:12;7;Croissant
30.10.2016;10:19:12;7;Gebaeck
30.10.2016;10:19:12;7;Kaffee
30.10.2016;10:19:12;7;Tee
30.10.2016;10:20:51;8;Gebaeck
30.10.2016;10:20:51;8;Brot
30.10.2016;10:21:59;9;Brot
30.10.2016;10:21:59;9;Muffin
30.10.2016;10:25:58;10;Waffel
30.10.2016;10:25:58;10;Croissant
30.10.2016;10:27:21;11;Brot
30.10.2016;10:27:21;11;Croissant
30.10.2016;10:27:21;11;Brot
30.10.2016;10:27:21;11;NONE
30.10.2016;10:30:14;12;Marmelade
30.10.2016;10:30:14;12;Kaffee
30.10.2016;10:30:14;12;Belegtes Brot
30.10.2016;10:30:14;12;Gebaeck
30.10.2016;10:30:14;12;Tee
30.10.2016;10:31:24;13;Geschenkkorb
30.10.2016;10:31:24;13;Brot
30.10.2016;10:31:24;13;Kaffee
30.10.2016;10:32:46;14;Brot
30.10.2016;10:32:46;14;Croissant
30.10.2016;10:32:46;14;Gebaeck
30.10.2016;10:34:36;15;NONE
30.10.2016;10:34:36;15;NONE
30.10.2016;10:34:36;15;Mineralwasser
30.10.2016;10:34:36;15;Waffel
30.10.2016;10:37:08;16;Brot
30.10.2016;10:37:08;16;Croissant
30.10.2016;10:37:08;16;Kaffee
30.10.2016;10:38:04;17;Heisse Schokolade
30.10.2016;10:41:56;18;Butterkuchen
30.10.2016;10:43:08;19;Butterkuchen
30.10.2016;10:43:08;19;Brot
30.10.2016;10:45:22;20;Brot
30.10.2016;10:45:22;20;Croissant
30.10.2016;10:49:29;21;Kaffee
30.10.2016;10:49:29;21;Kaffee
30.10.2016;10:49:29;21;Croissant
30.10.2016;10:49:29;21;Brot
30.10.2016;10:52:15;22;Marmelade
30.10.2016;10:53:49;23;Waffel
30.10.2016;10:53:49;23;Muffin
30.10.2016;10:54:33;24;Brot
30.10.2016;10:55:22;25;Waffel
30.10.2016;10:56:08;26;Bienenstich
30.10.2016;11:02:19;27;Waffel
30.10.2016;11:03:24;28;Kaffee
30.10.2016;11:03:24;28;Brot
30.10.2016;11:05:30;29;Brot
30.10.2016;11:05:30;29;Marmelade
30.10.2016;11:05:30;29;NONE
30.10.2016;11:07:19;30;Brot
30.10.2016;11:12:56;31;Geschenkkorb
30.10.2016;11:16:15;32;Waffel
30.10.2016;11:16:15;32;Muffin
30.10.2016;11:22:49;33;Kaffee
30.10.2016;11:25:45;34;Kaffee
30.10.2016;11:25:45;34;Muffin
30.10.2016;11:27:34;35;Muffin
30.10.2016;11:27:34;35;Waffel
30.10.2016;11:33:08;36;Tee
30.10.2016;11:33:08;36;Brot
30.10.2016;11:37:10;37;Kaffee
30.10.2016;11:37:10;37;Brot
30.10.2016;11:37:10;37;NONE
30.10.2016;11:42:40;38;Brot
30.10.2016;11:42:40;38;Tee
30.10.2016;11:44:31;39;Waffel
30.10.2016;11:55:51;40;Saft
30.10.2016;11:55:51;40;NONE
30.10.2016;11:55:51;40;Belegtes Brot
30.10.2016;11:55:51;40;Kaffee
30.10.2016;11:55:51;40;Muffin
30.10.2016;11:57:06;41;Waffel
30.10.2016;11:57:45;42;Brot
30.10.2016;11:57:45;42;Tee
30.10.2016;12:00:22;43;Waffel
30.10.2016;12:00:22;43;Bienenstich
30.10.2016;12:05:47;44;Kaffee
30.10.2016;12:05:47;44;Croissant
30.10.2016;12:08:36;45;Kaffee
30.10.2016;12:08:36;45;Heisse Schokolade
30.10.2016;12:08:36;45;Croissant
30.10.2016;12:09:04;46;Kaffee
30.10.2016;12:15:29;47;Smoothie
30.10.2016;12:15:29;47;Saft
30.10.2016;12:15:29;47;Brot
30.10.2016;12:15:29;47;Muffin
30.10.2016;12:15:29;47;Marmelade
30.10.2016;12:17:02;48;Kaffee
30.10.2016;12:23:01;49;Kaffee
30.10.2016;12:23:01;49;Kaffee
30.10.2016;12:23:01;49;Croissant
30.10.2016;12:25:11;50;Brot
30.10.2016;12:25:11;50;Erdbeertorte
30.10.2016;12:26:58;51;Brot
30.10.2016;12:28:07;52;Waffel
30.10.2016;12:33:08;54;Brot
30.10.2016;12:38:06;55;Frittata
30.10.2016;12:38:06;55;Kaffee
30.10.2016;12:38:06;55;Tee
30.10.2016;12:38:06;55;Saisonware
30.10.2016;12:39:27;56;Kaffee
30.10.2016;12:39:27;56;Frittata
30.10.2016;12:45:48;57;Waffel
30.10.2016;12:59:29;58;Erdbeertorte
30.10.2016;12:59:29;58;Heisse Schokolade
30.10.2016;12:59:29;58;Tee
30.10.2016;12:59:29;58;Suppe
30.10.2016;13:02:04;59;Tee
30.10.2016;13:02:04;59;NONE
30.10.2016;13:14:04;60;Kekse
30.10.2016;13:14:04;60;Kaffee
30.10.2016;13:14:04;60;Saft
30.10.2016;13:14:04;60;Kaffee
30.10.2016;13:15:38;61;Kaffee
30.10.2016;13:24:00;62;Salat
30.10.2016;13:24:00;62;Saisonware
30.10.2016;13:24:00;62;Saisonware
30.10.2016;13:24:00;62;Kaffee
30.10.2016;13:24:00;62;Smoothies
30.10.2016;13:24:00;62;Kaffee
30.10.2016;13:33:12;63;Kaffee
30.10.2016;13:34:07;64;Kuchen
30.10.2016;13:37:25;65;NONE
30.10.2016;13:37:25;65;Belegtes Brot
30.10.2016;13:37:25;65;Proteinshake
30.10.2016;13:37:25;65;Tee
30.10.2016;13:37:25;65;Kaffee
30.10.2016;13:40:20;66;Saisonware
30.10.2016;13:40:20;66;Frittata
30.10.2016;13:40:20;66;Mineralwasser
30.10.2016;13:46:48;67;Saisonware
30.10.2016;13:46:48;67;NONE
30.10.2016;13:46:48;67;Mineralwasser
30.10.2016;13:46:48;67;Muffin
30.10.2016;13:49:36;68;Frittata
30.10.2016;13:49:36;68;Kaffee
30.10.2016;13:49:36;68;Tee
30.10.2016;13:49:36;68;Waffel
30.10.2016;13:49:36;68;Huehnchen Sandwich
30.10.2016;13:51:49;69;Brot
30.10.2016;13:51:49;69;Tee
30.10.2016;13:51:49;69;Erdbeertorte
30.10.2016;13:54:42;70;Bienenstich
30.10.2016;13:56:08;71;Muffin
30.10.2016;14:21:38;72;Kaffee
30.10.2016;14:21:38;72;Brot
30.10.2016;14:22:39;73;Brot
30.10.2016;14:24:03;74;Kaffee
30.10.2016;14:24:03;74;Brot
30.10.2016;14:32:26;75;NONE
30.10.2016;14:32:26;75;Marmelade
30.10.2016;14:32:26;75;Frittata
30.10.2016;14:32:49;76;Kaffee
30.10.2016;14:35:36;77;Waffel
30.10.2016;14:42:29;78;Bienenstich
30.10.2016;14:45:44;79;Bienenstich
30.10.2016;14:45:44;79;Tee
30.10.2016;14:45:44;79;Kaffee
30.10.2016;14:45:44;79;Muffin
30.10.2016;14:48:40;80;Frittata
30.10.2016;14:48:40;80;Brot
30.10.2016;14:48:40;80;Kaffee
31.10.2016;08:28:31;81;Kaffee
31.10.2016;08:28:31;81;Kuchen
31.10.2016;08:47:05;82;Belegtes Brot
31.10.2016;08:47:05;82;NONE
31.10.2016;08:47:05;82;Brot
31.10.2016;08:57:47;83;Kaffee
31.10.2016;08:57:47;83;Brot
31.10.2016;09:04:06;84;Brot
31.10.2016;09:10:09;85;Kaffee
31.10.2016;09:10:09;85;Kaffee
31.10.2016;09:10:09;85;Gebaeck
31.10.2016;09:10:09;85;Croissant
31.10.2016;09:11:08;86;Saft
31.10.2016;09:12:56;87;Brot
31.10.2016;09:16:01;88;Kaffee
31.10.2016;09:16:01;88;Kaffee
31.10.2016;09:16:01;88;Marmelade
31.10.2016;09:19:41;89;Brot
31.10.2016;09:20:12;90;Brot
31.10.2016;09:20:12;90;Kaffee
31.10.2016;09:22:48;91;Tee
31.10.2016;09:22:48;91;NONE
31.10.2016;09:27:11;92;Kaffee
31.10.2016;09:29:23;93;Brot
31.10.2016;09:29:23;93;Cola
31.10.2016;09:39:09;94;Kaffee
31.10.2016;09:39:09;94;Kaffee
31.10.2016;09:43:37;95;Tee
31.10.2016;09:43:37;95;Gebaeck
31.10.2016;09:43:37;95;Butterkuchen
31.10.2016;09:46:48;96;Gebaeck
31.10.2016;09:46:48;96;Gebaeck
31.10.2016;09:46:48;96;Kaffee
31.10.2016;09:46:48;96;Saft
31.10.2016;09:51:11;97;Kaffee
31.10.2016;09:51:11;97;Gebaeck
31.10.2016;09:51:11;97;Saft
31.10.2016;09:52:22;98;Butterkuchen
31.10.2016;09:56:37;99;Gebaeck
31.10.2016;09:56:37;99;Gebaeck
31.10.2016;09:56:37;99;Kaffee
31.10.2016;09:56:37;99;Brot
31.10.2016;09:58:06;100;Brot
31.10.2016;10:04:02;101;Kaffee
31.10.2016;10:04:02;101;Gebaeck
31.10.2016;10:04:44;102;Butterkuchen
31.10.2016;10:07:40;103;NONE
31.10.2016;10:07:40;103;Brot
31.10.2016;10:12:48;104;Kaffee
31.10.2016;10:12:48;104;Kaffee
31.10.2016;10:12:48;104;Croissant
31.10.2016;10:12:48;104;Muffin
31.10.2016;10:12:48;104;Kaffee
31.10.2016;10:21:29;105;Kaffee
31.10.2016;10:21:29;105;Tee
31.10.2016;10:21:29;105;NONE
31.10.2016;10:21:29;105;Kuchen
31.10.2016;10:24:21;106;Kaffee
31.10.2016;10:24:21;106;Kaffee
31.10.2016;10:24:21;106;Gebaeck
31.10.2016;10:24:21;106;Gebaeck
31.10.2016;10:27:30;107;Kaffee
31.10.2016;10:27:30;107;Tee
31.10.2016;10:31:05;108;Butterkuchen
31.10.2016;10:31:05;108;Muffin
31.10.2016;10:35:23;109;Brot
31.10.2016;10:35:23;109;Muffin
31.10.2016;10:35:23;109;Gebaeck
31.10.2016;10:36:37;110;Gebaeck
31.10.2016;10:38:09;111;Kaffee
31.10.2016;10:59:17;112;Kaffee
31.10.2016;11:02:37;113;Kaffee
31.10.2016;11:02:37;113;Kuchen
31.10.2016;11:05:45;114;Butterkuchen
